,min_proba,min_distance,max_entropy,sample_fraction,accuracy
74,0.6,0.5,1.75,0.757,0.941
73,0.6,0.5,2.0,0.757,0.941
72,0.6,0.5,10.0,0.757,0.941
13,0.0,0.5,2.0,0.759,0.94
44,0.5,0.5,1.75,0.759,0.94
43,0.5,0.5,2.0,0.759,0.94
42,0.5,0.5,10.0,0.759,0.94
57,0.55,0.5,10.0,0.759,0.94
29,0.45,0.5,1.75,0.759,0.94
28,0.45,0.5,2.0,0.759,0.94
27,0.45,0.5,10.0,0.759,0.94
59,0.55,0.5,1.75,0.759,0.94
14,0.0,0.5,1.75,0.759,0.94
58,0.55,0.5,2.0,0.759,0.94
12,0.0,0.5,10.0,0.759,0.94
71,0.6,0.4,1.75,0.786,0.935
70,0.6,0.4,2.0,0.786,0.935
69,0.6,0.4,10.0,0.786,0.935
60,0.6,0.0,10.0,0.798,0.932
66,0.6,0.3,10.0,0.795,0.932
67,0.6,0.3,2.0,0.795,0.932
68,0.6,0.3,1.75,0.795,0.932
62,0.6,0.0,1.75,0.798,0.932
63,0.6,0.2,10.0,0.798,0.932
64,0.6,0.2,2.0,0.798,0.932
65,0.6,0.2,1.75,0.798,0.932
61,0.6,0.0,2.0,0.798,0.932
56,0.55,0.4,1.75,0.801,0.931
41,0.5,0.4,1.75,0.802,0.931
54,0.55,0.4,10.0,0.801,0.931
55,0.55,0.4,2.0,0.801,0.931
11,0.0,0.4,1.75,0.802,0.931
39,0.5,0.4,10.0,0.806,0.931
9,0.0,0.4,10.0,0.807,0.931
10,0.0,0.4,2.0,0.807,0.931
26,0.45,0.4,1.75,0.802,0.931
25,0.45,0.4,2.0,0.807,0.931
24,0.45,0.4,10.0,0.807,0.931
40,0.5,0.4,2.0,0.806,0.931
53,0.55,0.3,1.75,0.816,0.928
51,0.55,0.3,10.0,0.816,0.928
52,0.55,0.3,2.0,0.816,0.928
49,0.55,0.2,2.0,0.827,0.925
50,0.55,0.2,1.75,0.827,0.925
48,0.55,0.2,10.0,0.827,0.925
47,0.55,0.0,1.75,0.83,0.923
37,0.5,0.3,2.0,0.833,0.923
46,0.55,0.0,2.0,0.83,0.923
38,0.5,0.3,1.75,0.827,0.923
36,0.5,0.3,10.0,0.833,0.923
8,0.0,0.3,1.75,0.828,0.923
45,0.55,0.0,10.0,0.83,0.923
23,0.45,0.3,1.75,0.828,0.923
21,0.45,0.3,10.0,0.842,0.921
6,0.0,0.3,10.0,0.846,0.921
7,0.0,0.3,2.0,0.842,0.921
22,0.45,0.3,2.0,0.841,0.921
35,0.5,0.2,1.75,0.848,0.914
34,0.5,0.2,2.0,0.854,0.914
33,0.5,0.2,10.0,0.854,0.914
20,0.45,0.2,1.75,0.852,0.913
5,0.0,0.2,1.75,0.853,0.912
30,0.5,0.0,10.0,0.863,0.91
19,0.45,0.2,2.0,0.867,0.91
18,0.45,0.2,10.0,0.868,0.91
31,0.5,0.0,2.0,0.863,0.91
32,0.5,0.0,1.75,0.857,0.91
17,0.45,0.0,1.75,0.869,0.906
4,0.0,0.2,2.0,0.876,0.906
16,0.45,0.0,2.0,0.884,0.904
15,0.45,0.0,10.0,0.885,0.904
3,0.0,0.2,10.0,0.89,0.903
2,0.0,0.0,1.75,0.881,0.9
1,0.0,0.0,2.0,0.917,0.888
0,0.0,0.0,10.0,1.0,0.85
