"full_name","origin"
"young moon choi","Korea"
"rathina rajarajan","India"
"jose manuel estradera soler","Hispanic"
"arjun chittoor","India"
"jaime sanfelix palau","Hispanic"
"brian john ebel","AngloSaxon"
"tangli cheng","China"
"juan jose jimenez martinez","Hispanic"
"youri johannes laurentius maria van dommelen","French"
"somhairle maccormick","AngloSaxon"
"morten saxboel","Scandinavian"
"lara stoike steben","German"
"timo zepf","German"
"karin tegerstedt","German"
"jaume cardellach lopez","Hispanic"
"christopher peak","AngloSaxon"
"keith vendura","AngloSaxon"
"paul lukas brillhart","AngloSaxon"
"mitsuharu hamamori","Japan"
"edward william morgan","AngloSaxon"
"frederick leonard knoll","German"
"milos rusek","Balkans"
"carlos raventos","Hispanic"
"flavio fessa","Hispanic"
"nancy slater","AngloSaxon"
"yunbo xun","China"
"rajesh saragadam","India"
"daniel lawrence bader","German"
"qiangbin wang","China"
"timothy peschman","AngloSaxon"
"francisco jose sanchez baeza","Hispanic"
"yugang zhong","China"
"baback gharizadeh","Persian"
"robert fall","French"
"she yu","China"
"do wook kwon","Korea"
"richard simmers","AngloSaxon"
"aardra kannan ambili","India"
"waldimar amaya","Hispanic"
"stephen martin ledak","AngloSaxon"
"joseph ratell","AngloSaxon"
"peter krauth","German"
"ho wang lee","Korea"
"nuria orive cantera","Hispanic"
"olivier le clos elisabeth vigneau","French"
"janne haveri","Scandinavian"
"alain ret","French"
"kyeung hak seo","Korea"
"tatsuo ricoh co mikami","Japan"
"sergi nolla juan","Hispanic"
" zama","Africa"
"jason perry martin","AngloSaxon"
"sarbapi mukherjee","India"
"jose ramon pumarino alvarez","Hispanic"
"zhi shang","China"
"mikhail yakovlevich gelfgat","Slavic"
"ermes neri","Italian"
"duane johnson","AngloSaxon"
"iii beaver","AngloSaxon"
"narayan kashari","India"
"nikolai andreevich maksimov","Slavic"
"donald calman","AngloSaxon"
"angelo genova","Italian"
"david leroy lewis","AngloSaxon"
"sanjay vasudeo raut","India"
"mingkui liu","China"
"dominique nicot","French"
"eugene babaev","Slavic"
"glenn lund","Scandinavian"
"ales halama","EastEurope"
"cristiana filipa almeida alves","Hispanic"
"jingmei jessica li","China"
"roger alan lindley","AngloSaxon"
"vladimir afanasievich nikitin","Slavic"
"youjun gao","China"
"frederic fina","French"
"akok jain","India"
"antonio illana martos","Hispanic"
"reid hartenbower","AngloSaxon"
"kamlesh mehta","India"
"massimo arnaboldi","Italian"
