"Name","Origin","Balkans","Arabic","Italian","EastEurope","Africa","French","SouthEastAsia","Jewish","CentralAsia","Scandinavian","Persian","Greek","Hispanic-Iberian","Slavic-Russian","Japan","German","China","India","Turkey","Philippines","AngloSaxon","Korea","max_pred","dist_2nd","entropy","pred_origin","match"
"gnes nmeth","EastEurope",0.00207470554118444,0.00150666795213474,0.00259002667822877,0.122272482075112,0.100877069556227,0.192858956293546,0.0797183773522335,0.00471459989537477,0.000743392928747134,0.0400459615265948,0.000689273602239788,0.0018516633402453,0.0194840841929595,0.000913622737051374,0.00198323629802519,0.115671769892583,0.0169008656807509,0.0319482392623622,3.47379042402173e-05,0.0408085641760413,0.220079449259068,0.00223225385504957,0.220079449259068,0.027220492965522,2.22318361984052,"AngloSaxon",0
"mario semenzato","Italian",3.20199829937691e-05,2.34814016968316e-06,0.816990919757323,5.25440878095388e-06,7.40768676351867e-05,0.00460660722619483,0.000311056081607551,9.37642680745204e-07,3.66179947777666e-11,1.07837127318026e-05,1.85207101216063e-05,1.61754768496284e-05,0.174915762421416,9.92001009786607e-07,1.64136005550703e-06,0.000476434734194984,4.4560325922147e-05,4.19817127686441e-05,4.69613211684043e-07,0.000281467930953395,0.00216752036384246,4.69492918988424e-07,0.816990919757323,0.642075157335907,0.519196916650014,"Italian",1
"anton yevgenyevich kamenev","Slavic-Russian",0.000485208116817818,8.47440077645939e-07,0.00365584199539999,0.00657457153097647,0.00546277711344188,0.00156571679733895,0.143490088150783,0.0157920965881182,9.1534098614143e-05,0.0110778394127399,0.00112188217790486,0.00136260715860568,0.0183989328260592,0.655387947307454,1.27676071246186e-07,0.0432194132286039,0.00346743925995968,0.0035465024706236,9.16935427501484e-05,0.0151677018113403,0.0699963530658941,4.28782304256234e-05,0.655387947307454,0.511897859156671,1.28408766605999,"Slavic-Russian",1
"mohamed mkacher","Arabic",1.14648210413256e-05,0.0645651317034368,0.00153311636055856,3.43815377810098e-05,0.307071804854534,0.562120063165518,0.00153075781906377,0.000125068549927616,4.28599648006024e-10,0.000533407412266926,0.0150328170767956,4.78707097803145e-05,0.00166361907190235,8.02172642718012e-05,1.84031379356562e-05,0.00525822695988981,0.00269305228066543,0.0144971277576138,0.000126203091535133,0.000945540770027005,0.0220933215734514,1.84036534035842e-05,0.562120063165518,0.255048258310984,1.16098956599612,"French",0
"gustaf alfons koutonen","Scandinavian",4.84808594860094e-08,5.40100431381628e-06,7.87919518410758e-07,0.00278383979724307,1.95664145911645e-05,1.77413364000483e-06,0.011459829121523,7.77650427338841e-08,2.04016189695727e-06,0.982464698563468,7.20543194274091e-07,2.06436586632465e-06,0.000678486801022366,1.02213774087408e-07,4.43713637879496e-07,0.000359690507382035,1.78267288940108e-05,1.75521685475417e-05,7.77048935285168e-08,7.13832135946772e-06,0.00217736903892563,4.64530405838549e-07,0.982464698563468,0.971004869441945,0.106988543290616,"Scandinavian",1
"koichi sato","Japan",4.68196399160463e-08,1.58732995332896e-07,0.00526707829932206,2.04082916108029e-05,0.000162726406684556,0.0127158705714814,1.29352167154072e-05,7.6502905928416e-09,1.3538558758643e-09,0.00386468054183163,0.000487164682873429,4.99192111213655e-05,0.399016511667511,2.41429859076333e-05,0.251239809061731,0.0108955785334809,0.000223567600129386,2.99108657957102e-05,1.05902694060361e-05,0.285150872941585,0.0308277126194476,3.05676583994833e-07,0.399016511667511,0.113865638725926,1.3411179967745,"Hispanic-Iberian",0
"adam krzysztofiak","EastEurope",4.47674246228574e-05,0.00254932138666801,0.000780414438949815,0.158655965873052,0.0208795677936909,0.0064386067959263,0.0330316299092341,0.000552386653381912,2.8483316276517e-05,0.00323907553316383,0.00479446576182552,0.000791082304631519,0.00506258659188659,0.000102068727742412,2.51456840231973e-05,0.00707402707459624,0.00582660558784508,0.00375515707929232,0.000242141117344238,0.00518288542998148,0.740931022165363,1.25933505013302e-05,0.740931022165363,0.582275056292311,0.959064901657782,"AngloSaxon",0
"mitsuo tsukahara","Japan",8.38806287171576e-07,2.04084212382479e-06,1.36324284023651e-05,0.00541311283162135,2.13873403874163e-06,0.00275263321743542,1.04001525079563e-07,3.60709165755955e-08,1.60692993671034e-06,6.56443436410298e-07,8.08316849689425e-07,9.57545528529081e-07,0.091229444325814,1.7684825980611e-06,0.898682141508055,1.55463787699686e-05,8.0708694000236e-07,8.14148343704697e-06,8.13949789065245e-08,0.00179344711865336,8.00537992394499e-05,2.25341166891832e-09,0.898682141508055,0.807452697182241,0.371594882069212,"Japan",1
"minot","French",1.82679903613682e-07,3.18104993738873e-06,2.96894616152903e-06,2.31448376706675e-07,0.000114575154133537,0.999440433921413,0.000125457552062778,5.7392874890866e-08,9.7277013931974e-07,1.04447515049607e-06,2.40147680856243e-06,1.52356235822295e-06,2.52288215371391e-05,3.85149986948289e-07,3.27473636108385e-07,3.38577692927894e-06,1.31566470634953e-05,1.29540135014099e-05,3.99695876189412e-08,9.13252623177377e-06,0.000242016355186284,3.4283701941153e-07,0.999440433921413,0.999198417566227,0.0056317520285774,"French",1
"olof hjalmar olle hallberg","Scandinavian",1.94867052560224e-09,4.0584232970482e-08,6.30383916703138e-07,6.01182668280838e-07,1.27058504237625e-06,1.26873821290668e-06,2.57424713987853e-06,6.35923014523132e-10,1.46685630239627e-08,0.999563098086963,6.10331709739096e-09,1.23165198621795e-06,2.03371868087546e-05,4.10844549759226e-09,3.58581935247788e-09,9.46206500392738e-05,2.03426194367242e-05,1.35830336867887e-06,5.29876576972189e-10,5.27868313662216e-08,0.000292537658690459,3.75404760383463e-09,0.999563098086963,0.999270560428273,0.00425591025579588,"Scandinavian",1
"manfred walter","German",1.44850316726254e-08,1.02102539805196e-05,9.98633291109837e-05,3.30795486222566e-08,0.00464133890673752,0.00131790957559327,0.000155315206116107,1.0757251331956e-11,1.47228213300892e-08,0.000526159272356686,1.71738528449783e-05,2.08345816500833e-08,0.00301701398687484,7.16952785075566e-06,6.41577733099358e-11,0.982974132673688,0.000309463633252096,2.63299319535687e-05,1.08739825051144e-08,0.000463019937630679,0.00643480577396109,6.71677269506331e-11,0.982974132673688,0.976539326899727,0.113516423390589,"German",1
"mario angelo di stazio","Italian",0.00113908245079351,8.23663697525092e-05,0.647365107529463,0.000186920924750165,0.0025984150130913,0.00313551010976716,0.0109110012094854,3.28899546692795e-05,1.28445964870485e-09,0.000378263308826381,0.000649656131116354,0.000567391727428019,0.277768249313687,3.52895547020512e-05,5.75744459271922e-05,0.0245580680992328,0.00156305502055745,0.00147260428546408,1.64727540262005e-05,0.0108633228259618,0.0166022891523533,1.64685344856578e-05,0.647365107529463,0.369596858215776,0.971769521822225,"Italian",1
"otto rauth","Italian",5.35522221913014e-06,0.000466222928438061,0.000173903352644697,0.0180081446215972,0.000358254507915425,0.000176753608498391,0.00118694809125609,4.88702995014162e-09,4.41228644748285e-07,0.00134439216318481,2.40503022236442e-06,4.68069273770894e-05,0.10480369195999,2.1404429807437e-05,2.78845321930049e-08,0.839905336500314,0.000729284541829428,0.0255158143306939,1.50382643257219e-08,0.000203980406789588,0.00705078314601983,2.9192731416005e-08,0.839905336500314,0.735101644540324,0.61795036628912,"German",0
