,ethnic origin,baseline_share,threshold,N_samples,sample_share
0,0,0.05865921787709497,0.4,149,0.06218697829716194
1,1,0.05826017557861133,0.4,154,0.0642737896494157
2,2,0.05746209098164405,0.4,126,0.052587646076794656
3,3,0.06264964086193137,0.4,176,0.07345575959933222
4,4,0.06225059856344772,0.4,124,0.05175292153589316
5,5,0.06424581005586592,0.4,149,0.06218697829716194
6,6,0.06544293695131684,0.4,168,0.07011686143572621
7,7,0.057063048683160415,0.4,152,0.06343906510851419
8,8,0.060654429369513166,0.4,143,0.059682804674457426
9,9,0.060654429369513166,0.4,153,0.06385642737896494
10,10,0.05905826017557861,0.4,145,0.06051752921535893
11,11,0.06025538707102953,0.4,138,0.05759599332220367
12,12,0.036312849162011177,0.4,79,0.03297161936560935
13,13,0.057063048683160415,0.4,130,0.05425709515859766
14,14,0.05865921787709497,0.4,154,0.0642737896494157
15,15,0.06225059856344772,0.4,128,0.05342237061769616
16,16,0.05905826017557861,0.4,128,0.05342237061769616
0,0,0.05865921787709497,0.45,148,0.06281833616298811
1,1,0.05826017557861133,0.45,153,0.06494057724957555
2,2,0.05746209098164405,0.45,122,0.05178268251273345
3,3,0.06264964086193137,0.45,173,0.0734295415959253
4,4,0.06225059856344772,0.45,118,0.0500848896434635
5,5,0.06424581005586592,0.45,145,0.06154499151103565
6,6,0.06544293695131684,0.45,166,0.07045840407470289
7,7,0.057063048683160415,0.45,149,0.0632427843803056
8,8,0.060654429369513166,0.45,140,0.059422750424448216
9,9,0.060654429369513166,0.45,153,0.06494057724957555
10,10,0.05905826017557861,0.45,145,0.06154499151103565
11,11,0.06025538707102953,0.45,137,0.058149405772495756
12,12,0.036312849162011177,0.45,78,0.03310696095076401
13,13,0.057063048683160415,0.45,128,0.05432937181663837
14,14,0.05865921787709497,0.45,149,0.0632427843803056
15,15,0.06225059856344772,0.45,127,0.053904923599320885
16,16,0.05905826017557861,0.45,125,0.05305602716468591
0,0,0.05865921787709497,0.5,144,0.062445793581960105
1,1,0.05826017557861133,0.5,150,0.06504770164787511
2,2,0.05746209098164405,0.5,120,0.05203816131830009
3,3,0.06264964086193137,0.5,167,0.07241977450130095
4,4,0.06225059856344772,0.5,112,0.04856895056374675
5,5,0.06424581005586592,0.5,140,0.060711188204683436
6,6,0.06544293695131684,0.5,159,0.06895056374674761
7,7,0.057063048683160415,0.5,149,0.06461405030355594
8,8,0.060654429369513166,0.5,139,0.060277536860364266
9,9,0.060654429369513166,0.5,151,0.06548135299219428
10,10,0.05905826017557861,0.5,145,0.06287944492627927
11,11,0.06025538707102953,0.5,137,0.05941023417172593
12,12,0.036312849162011177,0.5,76,0.03295750216825672
