,max_proba,dist_second,entro,training_sample_fraction,accuracy
0,0.0,0.0,2.0,0.9750623441396509,0.321
1,0.0,0.2,2.0,0.9187032418952619,0.377
2,0.0,0.3,2.0,0.8877805486284289,0.343
3,0.0,0.4,2.0,0.856857855361596,0.313
4,0.0,0.5,2.0,0.8264339152119701,0.335
5,0.45,0.0,2.0,0.9356608478802992,0.323
6,0.45,0.2,2.0,0.912718204488778,0.349
7,0.45,0.3,2.0,0.886783042394015,0.275
8,0.45,0.4,2.0,0.856857855361596,0.319
9,0.45,0.5,2.0,0.8264339152119701,0.339
10,0.5,0.0,2.0,0.9162094763092269,0.303
11,0.5,0.2,2.0,0.9002493765586035,0.307
12,0.5,0.3,2.0,0.8832917705735661,0.325
13,0.5,0.4,2.0,0.856857855361596,0.319
14,0.5,0.5,2.0,0.8264339152119701,0.283
15,0.55,0.0,2.0,0.8922693266832917,0.319
16,0.55,0.2,2.0,0.888279301745636,0.335
17,0.55,0.3,2.0,0.8753117206982544,0.331
18,0.55,0.4,2.0,0.8543640897755611,0.325
19,0.55,0.5,2.0,0.8264339152119701,0.321
20,0.6,0.0,2.0,0.8708229426433916,0.329
21,0.6,0.2,2.0,0.8708229426433916,0.343
22,0.6,0.3,2.0,0.8653366583541147,0.319
23,0.6,0.4,2.0,0.8483790523690773,0.337
24,0.6,0.5,2.0,0.8264339152119701,0.293
25,0.65,0.0,2.0,0.8418952618453865,0.335
26,0.65,0.2,2.0,0.8418952618453865,0.321
27,0.65,0.3,2.0,0.8418952618453865,0.279
28,0.65,0.4,2.0,0.8374064837905237,0.323
29,0.65,0.5,2.0,0.8229426433915212,0.327
30,0.7,0.0,2.0,0.8169576059850374,0.279
31,0.7,0.2,2.0,0.8169576059850374,0.323
32,0.7,0.3,2.0,0.8169576059850374,0.331
33,0.7,0.4,2.0,0.8169576059850374,0.305
34,0.7,0.5,2.0,0.8129675810473815,0.315
